geo,country_code,nuts_level,label,parent_geo
AT,AT,0,ÖSTERREICH,
AT1,AT,1,OSTÖSTERREICH,AT
AT11,AT,2,Burgenland (A),AT1
AT111,AT,3,Mittelburgenland,AT11
AT112,AT,3,Nordburgenland,AT11
AT113,AT,3,Südburgenland,AT11
AT12,AT,2,Niederösterreich,AT1
AT121,AT,3,Mostviertel-Eisenwurzen,AT12
AT122,AT,3,Niederösterreich-Süd,AT12
AT123,AT,3,Sankt Pölten,AT12
AT124,AT,3,Waldviertel,AT12
AT125,AT,3,Weinviertel,AT12
AT126,AT,3,Wiener Umland/Nordteil,AT12
AT127,AT,3,Wiener Umland/Südteil,AT12
AT13,AT,2,Wien,AT1
AT130,AT,3,Wien,AT13
AT2,AT,1,SÜDÖSTERREICH,AT
AT21,AT,2,Kärnten,AT2
AT211,AT,3,Klagenfurt-Villach,AT21
AT212,AT,3,Oberkärnten,AT21
AT213,AT,3,Unterkärnten,AT21
AT22,AT,2,Steiermark,AT2
AT221,AT,3,Graz,AT22
AT222,AT,3,Liezen,AT22
AT223,AT,3,Östliche Obersteiermark,AT22
AT224,AT,3,Oststeiermark,AT22
AT225,AT,3,West- und Südsteiermark,AT22
AT226,AT,3,Westliche Obersteiermark,AT22
AT3,AT,1,WESTÖSTERREICH,AT
AT31,AT,2,Oberösterreich,AT3
AT311,AT,3,Innviertel,AT31
AT312,AT,3,Linz-Wels,AT31
AT313,AT,3,Mühlviertel,AT31
AT314,AT,3,Steyr-Kirchdorf,AT31
AT315,AT,3,Traunviertel,AT31
AT32,AT,2,Salzburg,AT3
AT321,AT,3,Lungau,AT32
AT322,AT,3,Pinzgau-Pongau,AT32
AT323,AT,3,Salzburg und Umgebung,AT32
AT33,AT,2,Tirol,AT3
AT331,AT,3,Außerfern,AT33
AT332,AT,3,Innsbruck,AT33
AT333,AT,3,Osttirol,AT33
AT334,AT,3,Tiroler Oberland,AT33
AT335,AT,3,Tiroler Unterland,AT33
AT34,AT,2,Vorarlberg,AT3
AT341,AT,3,Bludenz-Bregenzer Wald,AT34
AT342,AT,3,Rheintal-Bodenseegebiet,AT34
ATZ,AT,1,EXTRA-REGIO,AT
ATZZ,AT,2,Extra-Regio,ATZ
ATZZZ,AT,3,Extra-Regio,ATZZ
BE,BE,0,BELGIQUE-BELGIË ,
